	token	golden_pos	nltk_pred	spacy_pred	flair_pred
127	threatening	VERB	VERB	VERB	VERB
128	me	PRON	PRON	PRON	PRON
129	with	ADP	ADP	ADP	ADP
130	a	DET	DET	DET	DET
131	gun	NOUN	NOUN	NOUN	NOUN
132	All	DET	NOUN	DET	DET
133	in	ADP	ADP	ADP	ADP
134	all	DET	DET	DET	DET
135	the	DET	DET	DET	DET
136	day	NOUN	NOUN	NOUN	NOUN
137	was	VERB	VERB	VERB	VERB
138	so	ADV	ADV	ADV	ADV
139	unusual	ADJ	ADJ	ADJ	ADJ
140	that	CONJ	ADP	ADP	ADP
141	I	PRON	PRON	PRON	PRON
142	have	VERB	VERB	VERB	VERB
143	decided	VERB	VERB	VERB	VERB
144	to	PRT	PRT	PRT	PRT
145	write	VERB	VERB	VERB	VERB
146	a	DET	DET	DET	DET
147	few	ADJ	ADJ	ADJ	ADJ
148	rhymes	NOUN	NOUN	NOUN	NOUN
149	about	ADP	ADP	ADP	ADP
150	it	PRON	PRON	PRON	PRON
